sku_id,product_title,description,brand,category,price,mrp,image_url,product_url,color,size,material,availability
SHOE001,Nike Air Max 270 Blue Running Shoes for Men,Lightweight and breathable Nike Air Max 270 running shoes with Max Air unit for all-day comfort. Mesh upper for ventilation.,Nike,Shoes,7999,9999,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,https://flipkart.com/shoe001,Blue,UK 9,Mesh,in_stock
SHOE002,Adidas Ultraboost 22 Black Sports Shoes,Premium running shoe with Boost midsole technology. Continental rubber outsole for superior grip.,Adidas,Shoes,11999,14999,https://images.unsplash.com/photo-1608231387042-66d1773d3028?w=400,https://flipkart.com/shoe002,Black,UK 10,Primeknit,in_stock
DRESS001,Zara Floral Midi Dress for Women - Summer Collection,Elegant floral print midi dress perfect for summer outings. Lightweight chiffon fabric with flowy silhouette.,Zara,Dresses,3499,4999,https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?w=400,https://flipkart.com/dress001,Red,M,Chiffon,in_stock
DRESS002,H&M Wrap Dress Women Blue,Versatile wrap dress with adjustable belt. Suitable for office and casual wear.,H&M,Dresses,2299,2999,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://flipkart.com/dress002,Blue,S,Polyester,in_stock
BAG001,Lavie Tote Bag for Women Brown,Spacious tote bag with multiple compartments. Genuine leather handles. Perfect for daily use.,Lavie,Bags,2799,3999,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400,https://flipkart.com/bag001,Brown,,Faux Leather,in_stock
WATCH001,Titan Analog Watch for Men Silver,Classic analog watch with stainless steel case and leather strap. Water resistant up to 30m.,Titan,Watches,4999,6999,https://images.unsplash.com/photo-1523170335258-f5ed11844a49?w=400,https://flipkart.com/watch001,Silver,,Stainless Steel,in_stock
SHOE003,Puma RS-X3 Sneakers White Red,Retro-inspired chunky sneaker with RS cushioning. Bold design for streetwear enthusiasts.,Puma,Shoes,6499,8499,https://images.unsplash.com/photo-1605348532760-6753d2c43329?w=400,https://flipkart.com/shoe003,White,UK 8,Synthetic,in_stock
ELEC001,boAt Airdopes 141 True Wireless Earbuds,TWS earbuds with 42 hours total playback. IPX4 water resistance. Instant Voice Assistant.,boAt,Electronics,1499,2999,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=400,https://flipkart.com/elec001,Black,,Plastic,in_stock
DRESS003,,Casual party dress,,,999,800,not-a-valid-url,,Pink,L,Cotton,in_stock
SKU_DUPE,Budget Shoes Low Quality,Low quality product with missing info,,Shoes,,-500,,,,,out_of_stock
NOSKU999,,,,,,,,,,,,
